raw_text,guessed_intent,matched_keywords
"Hello freshers,  Here is the guide to install C++ , python and vs code on your laptop for major operating systems (windows,  mac and linux) . Kindly make sure to setup the aforementioned things before attending the session of introduction to programming . Don't hesitate to ask any of the seniors if you run into issues during installation  With regards Kamand Prompt",greeting,greeting:hello
"Bhai Fresher party Kab doge , still we are disappointed 😑",complaint,complaint:disappointed
@⁨all⁩ Thank you for valuing our efforts and attending the SnTC intro. We all are very grateful to you to respect our efforts and proud that our junior batch has the determination and passion to involve in tech stuff. Please don't loose this energy and stay engaged with whatever domain you get interested in...for now try everything...you will soon find your passion....sorry for the attendance lie..we have no other option to call you guys in....infact you must have yourself understood how important this session was. Thank you <This message was edited>,thanks,thanks:thank you
Thanks,thanks,thanks:thanks
Play Brumble 2.0 with me on Matiks — every game you play scores for our college 🎓  https://app.matiks.org/brumble?event=Brumble%202.0&referred_by=ankushiitm,greeting,greeting:hii
"Hey everyone! 👋  For the upcoming TIP (Technical Induction Program) session and a few other sessions in the future using *SolidWorks*, a 3D modelling and designing software, we’d like to request all of you to install it on your devices, and be prepared for the session on this Thursday, 20th August.  You can watch the following YouTube video, for a detailed guide on installing SolidWorks on your PCs and laptops : https://youtu.be/HO_PReu2J-M?feature=shared  ⚠️ IMPORTANT : Unfortunately, SolidWorks does not work natively on MacBooks/Macs, so the guide is only applicable to Windows PCs and laptops.  For any doubts or queries, please reach out to us : Advaith Pillai (+918108560164), Aman Modi (+917339848903), Aarav Arya (+918779345706), Piyush Kumar (+918979981322)  If we're unable to resolve your issues, or if you're facing unavoidable challenges like poor WiFi network, we'll arrange an offline meeting with us on Wednesday - more details on that soon.  Happy designing! 🛠️ — *Team Yantrik* 18/08/26, 00:22 - Jayant (Civil) added +91 76682 82753",greeting,greeting:hey
How to I join stac club,faq_how_to,faq_how_to:how to
Bhai today they will teach you it is not normal session,greeting,greeting:hey
"Hey everyone! 👋  For the upcoming TIP (Technical Induction Program) session and a few other sessions in the future using *SolidWorks*, a 3D modelling and designing software, we’d like to request all of you to install it on your devices, and be prepared for the session on this Thursday, 20th August.  You can watch the following YouTube video, for a detailed guide on installing SolidWorks on your PCs and laptops : https://youtu.be/HO_PReu2J-M?feature=shared  ⚠️ IMPORTANT : Unfortunately, SolidWorks does not work natively on MacBooks/Macs, so the guide is only applicable to Windows PCs and laptops.  For any doubts or queries, please reach out to us : Advaith Pillai (+918108560164), Aman Modi (+917339848903), Aarav Arya (+918779345706), Piyush Kumar (+918979981322)  If we're unable to resolve your issues, or if you're facing unavoidable challenges like poor WiFi network, we'll arrange an offline meeting with us on Wednesday - more details on that soon.  Happy designing! 🛠️ — *Team Yantrik*",greeting,greeting:hey
They have written so in email..basically What i mean to say is hamari and tumhari..dono batch ke liye compulsory hai,greeting,greeting:hey
Thanks bro 🙏🏻,thanks,thanks:thanks
Schii?!!!,greeting,greeting:hii
movie bhiii!!! ajjj toh partyyy hai,greeting,greeting:hii
"Hello bhaiya is there any way if finding the emails of all courses instructors, I need to write a email to them regarding the course registeration problem <This message was edited>",greeting,greeting:hello
Ok bhaiya thanks,thanks,thanks:thanks
"🚨 FRESHERS, THIS IS YOUR FINAL WARNING. 🎬🍿  You already know the time. You already know the place. Now you just need to GET THERE. 👀  Because Chhichhore is waiting… and so are a LOT of people. 😭  🎬 Movie: Chhichhore 📍 Auditorium 🕖 7:00 PM  Come early. Come fast. The seats are NOT reserved, and once they’re gone… they’re gone. 💀  Don’t be the person who reaches at 7:05 and spends the next 2 hours looking for a seat. 😭🍿  See you inside. 🎥❤️",greeting,greeting:hey
koi mail aaya kya ? ki transaction failed ?,payment_failed,payment_failed:transaction fail
"Hey Freshers! 🍕🥤  Need a quick break and some good food? We’ve set up a food stall right near the Auditorium with plenty of snacks, quick bites, and pastries.  Location: Outside the Main Auditorium  Time: Happening right now!  Drop by between sessions to grab a bite, chill, and meet fellow batchmates. See you there! 👋✨",greeting,greeting:hey
"Hey Everyone!  Today, stalls will be there outside the Auditorium from: ⏰ 5:00 PM – 10:00 PM  All of you are welcome! 🙌 So come with your friends and enjoy! 😋  Don’t miss it! 👀",greeting,greeting:hey
Okayyy thanks,thanks,thanks:thanks
"dance club bhi h kya or isme join kaise kre??? 21/08/26, 23:14 - ~ ACHY added +91 85109 84574",faq_how_to,faq_how_to:kaise kre
"HEY FRESHERS! WELCOME TO IIT MANDI  Introducing a campus-wide digital scavenger hunt made by our seniors!  Sharing this with you all so you can check it out and participate!  A campus-wide digital scavenger hunt where you explore IIT Mandi, discover interesting/useful spots, mark them on the map and check in when you reach them.  TEAM REGISTRATION DEADLINE: SATURDAY 12 PM QUEST: SATURDAY & SUNDAY  EXPLORE → MARK UP → CHECK IN → WIN  STEP 1 :- Download SeekKrr on Android  app link :- https://play.google.com/store/apps/details?id=com.seekkrr.app  STEP 2 — MARK A LOCATION  Found a useful or interesting place around campus? Add it to the Quest map!  -Select your location -Click the Navigation button above the Bag button -Tap Bag icon → “Mark a location” -Click a picture of the location -Add the title, tags and other details then click Submit  STEP 3 — CHECK IN  A marker only counts when you actually reach the spot.  Open the marker → Navigate → Reach the location → CHECK-IN  To check in:  -Open the marker -Navigate to the spot -Reach the location -Tap Bag icon → Check In  REWARDS — EXPLORE. COMPETE. WIN.  ULTIMATE EXPLORER - Most check-ins  BEST MAP MAKER - Best custom markers  CROWD FAVOURITE - Most visits on your markers  --₹1,000 CASH PRIZE-- For the top marker/check-in performance at the top tier of the leaderboard  --INTERNSHIP OPPORTUNITIES-- Strong feedback, useful product insights and valuable bug reports can open up a direct internship opportunity.  IPHONE USERS — DON'T WORRY!  No Android phone? You can still participate!  Team Size: 1–3 students  Create / Join a Team:- https://forms.gle/7QqKxHY6RLN7VGLm9  🌐 seekkrr.com 21/08/26, 23:31 - ~ ArYaN added +91 89055 89118",greeting,greeting:hey
"🚨 IIT Mandi's BIGGEST Exploration Drive is LIVE! 🏔️✨ Time to hunt down the coolest hidden gems on campus. Grab your friends and let's go!  📲 1. Get Ready  Android Users: Download SeekKrr 👉 https://play.google.com/store/apps/details?id=com.seekkrr.app  iOS Users: No app yet? No stress! Just team up with an Android buddy. 🤝  Register your Squad (1-3 members): https://forms.gle/7QqKxHY6RLN7VGLm9 (Deadline extended till EOD)  🎮 2. How to Play  📍 Mark It: Found a place with a vibe? Tap the Bag icon 🎒 ➡️ Mark Location ➡️ Snap a pic 📸 ➡️ Submit! (How-to: https://youtube.com/shorts/8pEN9BEqYgk)  👣 Check-in: Visiting a spot someone else found? Tap Bag 🎒 ➡️ Check-in & drop your thoughts! (How-to: https://youtube.com/shorts/qurJq-niZ4M) and add your digital footprint  🏆 3. Explore -> Create -> WIN PRIZES! 🎁  🥇 Ultimate Explorer: Most Check-ins!  🌟 Best Marker: Best unique location discovered!  📸 CROWD FAVOURITE - Follow @Seek_Krr on Instagram and accept our follow request. (we follow back 😉) Post your favorite moments of the event and win!  Instagram page - https://www.instagram.com/seek_krr?igsi=enprOWx5ZXZnMHMz  🎓 An event by your Alumni, for the Freshers! Stay safe and happy exploring! 🚀  Still confused, join the whatsapp community and ask away your doubts - https://chat.whatsapp.com/F3eNJri403aF8Sk0q1kDDu?s=cl&p=a&mlu=4  P.S. We have a google meet scheduled for 3PM to explain the event, and we are there till the evening - so join and ask your queries, we are there to help you - meet.google.com/syn-cqre-hxh 22/08/26, 12:01 - Jenish Gandhi GE pinned a message",faq_how_to,faq_how_to:how to
Sorry chalchitra nhiii,greeting,greeting:hii
"Hello everyone!  You’ve seen the crazy projects happening around our college and I know many of you are itching to be a part of them.  While we can’t directly recruit everyone into our technical teams, there’s always a way to contribute. That’s why we’ve opened forms for the SAE SUPRA Public Outreach Team.  You’ll get to connect with companies, sponsors and industry professionals, build communication and persuasion skills, work on collaborations and represent IIT Mandi beyond campus.  We don’t want experience. We want you to come here to gain it. If you genuinely want to contribute and put yourself out there, this is your chance to get out of your rooms, meet new people, build your community and network with seniors.  Apply here: https://docs.google.com/forms/d/e/1FAIpQLSeugmccFTKROjNPDDCwoVjyT750zuqmBmFZocEsQf9qx5tVSA/viewform?usp=publish-editor  SAE IIT MANDI 23/08/26, 02:09 - Hardik Malik ECell Coordinator added +91 88265 27731",greeting,greeting:hello
"Hello @⁨all⁩  How is everyone? To brighten up your boring weekend, we in behalf of The Robotronicw Club IIT MANDI thought of adding a little _spark_ (pun totally not intended) with an interesting task for you to try out before our upcoming TIP Session. It's a chance to explore circuit simulation using Tinkercad (www.tinkercad.com) and get comfortable with the basics before we move on to building real circuits during the session. The task is optional, but we strongly encourage you to give it a shot. The top scorers will get a special opportunity during the club room tour :)  Register at: https://fresher-pre-induction-iitmandi.onrender.com  All the best! Take this as a chance to experiment and learn something new. The deadline for submissions is Wednesday EOD (End of Day).",greeting,greeting:hello
"Hey guys, please come to the audi asap 🏔️✨",greeting,greeting:hey
"Hello guys, If anyone of you is going to delhi in bus and then planning to catch a flight in the midsem break. Please let me know. I need someone who can travel with me till the Delhi indira Gandhi airport. Thanks",greeting,greeting:hello; thanks:thanks
"Hello Guys and Girls!!  Your favourite club is back again with something special 🎊🎊  We will be having our first introductory/ explanatory session today.  It will be a hell of a session where we will take you on a roller coaster ride from the brain to Neural Networks and beyond.  So make sure to bring your laptops ‘cause this session will be one to remember 🔥🔥  PS: We will show you how basic math evolves to such complex technology so don’t miss it, we’ll start from scratch and go on a voyage to the horizons of AI   ⏰Time: 1:30 pm to 4:00 pm 📍 Venue: A18 1-A  Save the date peeps, this will be a session full of fun and crzay stuff !!!!!!!    ~ KBG",greeting,greeting:hello
"🔥 *EVER WANTED TO GET BETTER AT ARGUING?* 👀  Ever had a comeback in your head *3 hours after an argument ended?* 😭  Well, this one’s for you.  TSOD is hosting an *INTRO TO DEBATING* session where you’ll learn how debates work, build confidence, think on your feet, and most importantly — *learn how to make an argument that actually hits.* 🧠🔥  ✨ *No experience needed.* Just bring your opinions, curiosity, and maybe a little bit of chaos.  🎁 *Prizes to be won!* 🥤 *Refreshments provided!* 🔥 *And a chance to test your debating skills!*  🗓️ *24th August* ⏰ *7:30 PM – 8:30 PM* 📍 *A18 – 1A*  *Come for the refreshments. Stay for the arguments. Leave with prizes.* 👀🏆  *See you there! 🔥*",faq_how_to,faq_how_to:how to
"✨Hello Freshers ✨  Kal ke baad all of you must surely remember our club's name 😉. Well aaj we're bringing you a golden opportunity, a way to enter UDC!  We're holding our first workshop of the year TODAY from 9PM onwards. Make sure you're there! (Or kiss your dreams of joining UDC goodbye 🫠)  Do fill out the registration form to help us know which songs are the most demanded from our beloved freshers 🤗  See you there folks!",greeting,greeting:hello
Also In one single bench just 2 people That too at corners While In others they were sitting more in no.s <This message was edited>,greeting,greeting:hey
"okay, thank you",thanks,thanks:thank you
"✨ Mountains, madness & memories. ✨ We built these moments out of pure love and friendship, and it’s your incredible energy that truly brought them to life. If this memory brought a smile to your face, let's keep the magic growing: 🌱 Follow for more of our journey. https://www.instagram.com/unfiltered_iitians?igsi=MWNibWJsMHFmNjV5OA== ❤️ Like to cherish the moment. ☀️ Share to spread the warmth. Thank you for being the heart of this story. ✨🌿 #khanipeak #iitmandi #collegelife https://www.instagram.com/reel/DcYODPqp2kWtHWDKwCNj1ZKerq1LmXbBVy8x0c0/?igsi=MWYyeWIyY24yNml0MQ== <This message was edited>",thanks,thanks:thank you
"Hey freshers! 👋  You’re probably going to spend a LOT of your college life in front of a laptop, so taking care of your health, attention, and productivity matters more than you think.  Zake helps you stay productive while building healthier digital habits:  👀 20-20-20 eye-break reminders 🧍 AI-Posture checks 💧 Water-break reminders ⏱️ Work blocks & focus scheduling 📵 Hide/grey out Shorts, Reels & distracting content 🚫 Block distracting websites 📱 Control your laptop distractions remotely from the Zake mobile app  🔒 *Your privacy matters:* Zake does not record or store your browsing history or camera data.  *IIT Mandi students get Zake Pro FREE 🎉*  How to activate:  1. Open https://zake.app/extension 2. Click *Add Extension* and install Zake 3. Sign up using your *IIT Mandi email* 4. Open your *Profile* → scroll down to *Company License* 5. Enter: `IITMANDI-ZAKE-LICENSE-KEY`  That’s it. Congratulations, you now have *Zake Pro for free* 🚀  For any issues with signup or if you have any questions, contact: 📧 support@zake.app 📞 9962101545  Make the most of college without letting your phone and laptop take over your life.  Guys karlo yeh try aakhein and dimaag bach jaye kahin, mujhe bhi btana bohot zarurat hai mujhe 🙏🏻 23/08/26, 21:49 - +91 80058 07457 was added 23/08/26, 21:49 - ~ Nandini Sharma added +91 80058 07457",greeting,greeting:hey; faq_how_to:how to
"Helloooo everyone! Reminder for today's TIP session on 3D modelling  Session starts in 10 mins, so sabh aajao. Bohot maza aane wala hai and you'll get to learn a lot of things at the same time",greeting,greeting:hello
"*​""I don't know enough code for a hackathon.""* *""What if I mess up?""* *""I don't have a team.""* ​Sounds familiar? *Leave the stress to us.*🤝 ​You don’t need to be a coding wizard to participate in hackathons—you just need curiosity and a willingness to build. We’re putting together a space to help you navigate your very first hackathons with zero gatekeeping. ​What’s inside? *​Project ideation & beginner tracks* *​Finding the right teammates* *​Tips, tricks, and senior support* ​Hop in, meet fellow builders, and let's get you ready for your first win: https://chat.whatsapp.com/BudukELaFz4KPjAmpDbGmZ",delivery_tracking,delivery_tracking:track
Nhiii,greeting,greeting:hii
"🚨 TIP: Git & GitHub Session! 🚨  Hey everyone! 👋  This 26th August, we’re diving into something that you’ll probably end up using throughout your entire programming journey — Git & GitHub 🧑‍💻🔥  📅 26 August 2026 ⏰ 5:00 PM – 7:00 PM 📍 Auditorium  Imagine coding for 3 hours, making a change, and then thinking: “Yaar pehle wala code hi better tha… ab wapas kaise laau?” 😭  Or working on a project with friends and ending up with: ""final.py"" → ""final2.py"" → ""final_final.py"" → ""final_final_REAL.py"" 💀  Git is here to save you from exactly this. 🫡  So before coming, please go through the GitHub guide shared earlier and complete the setup.  Git is not just another tool you have to learn. It’s one of those tools that makes programming life WAY easier.  So be on time, come prepared, and let’s git gud. 😭🔥  See you all on the 26th!",greeting,greeting:hey
"Hello guys! If you haven’t filled out the Rann-Neeti volunteers form yet, please fill it out as soon as possible. The deadline is today, by the end of the day. Don’t miss it! <This message was edited>",greeting,greeting:hello
Thanks!,thanks,thanks:thanks
Venue Management Volunteer Meeting – Venue Changed!  📍 New Venue: A17 1A  Please note the change in venue and make sure to reach the new location  Thank you! 🙏,thanks,thanks:thank you
"Thanks bhai, bahut zarurat thi",thanks,thanks:thanks
flipkart ne bhut kuch deliver krna band kr diya hai abhi mandi mein. electronic items mein bhii,greeting,greeting:hii
Oh okay bhaiya thank you,thanks,thanks:thank you
Ha bhaiya abb ye hii Krna hoga,greeting,greeting:hii
"Hey guys, just a reminder for today 👋  We have the Live Interaction with the Hon’ble Prime Minister at 9:45 AM in the Auditorium.  Since it’s mandatory for all 1st-year students, please make sure you reach on time and get seated before the reporting time. Don’t wait till the last minute 😅  Also, there’s an Idea Box (https://drive.google.com/file/d/17llbvAurF3ZrStzg9CtsDpJIq16xrafz/view?usp=sharing) where you can submit your questions/ideas for the interaction. Some of these may also get picked for the Yuva Samvad later.  So yeah, be there on time, follow the instructions from the organisers/security, and make the most of the opportunity! 👍",greeting,greeting:hey
Hello frendz,greeting,greeting:hello
Slideshow toh mai bhi dekh skta hu 😔,faq_how_to,faq_how_to:how to
Oh ok Thanks,thanks,thanks:thanks
Thanks so much 🙏🙏,thanks,thanks:thanks
how to apply?,faq_how_to,faq_how_to:how to
"🔍🔥 SCAVENGER HUNT REMINDER! 🔥🔍  Hey everyone! The Ultimate Scavenger Hunt is almost here! 😍 Get ready for an afternoon packed with mystery clues, crazy challenges, teamwork, and lots of fun! 🏃‍♂️🧩  📅 Date: Sunday, 30th August 2026 ⏰ Time: 3:00 PM – 7:00 PM ⚠️ Be there sharp at 3:00 PM! 📍 Starting Point: Village Square  🚨 Before you arrive: 👥 Make sure your team is finalized and everyone is connected. 📱 Charge your phones fully — you may need them for clues & coordination! 👟 Wear comfortable shoes — there’s going to be plenty of running around! 🏃‍♀️💨  🏆 Exciting prizes are waiting for the fastest & smartest team! 🎁🔥  So, gather your team, sharpen your minds, and get ready to HUNT, RUN & CONQUER! 🕵️‍♂️🔍  See you Sunday at Village Square! 😎✨",greeting,greeting:hey
"Hello Everyone!  🚨 NEEV 1.0 is officially LIVE! 🚀  The challenges are out, the clock is ticking, and builders across the campus have already started working.  Still thinking about joining? This is your last chance!  If you’ve ever thought:  * “Hackathons se dar lagta hai…” 🤔 * “Kya karen? Kuch samajh hi nahi aa raha?” * “Coding aati hai, par start kahan se karun?” * “Idea hai… implementation ka kya?”  Then NEEV 1.0 is exactly what you need.  This isn’t just another hackathon—it’s a Pre-Hackathon Challenge designed to help you build the skills, mindset, and confidence needed to tackle future hackathons.  🌱 What You’ll Learn  As you work through the challenges, you’ll gain hands-on experience with:  * 💡 Breaking down real-world problems * 🛠️ Turning ideas into working projects * 🤖 Using AI effectively to accelerate development * 🧩 Modern development workflows and best practices * 🚀 Tools, tips, and tricks that save hours during a hackathon  Whether you’re a complete beginner or someone with prior hackathon experience, NEEV has something valuable for you.  ⸻  📅 Event Details  🗓️ NEEV 1.0 – Pre-Hackathon Challenge  📍 Mode: Online (Join from anywhere!)  ⏳ Duration: 48 Hours  📆 Runs Until: 30th August  🔥 Challenges went LIVE on 28th August at 5:00 PM.  ⸻  This is your final opportunity to jump in before the challenge gets too far ahead.  Don’t wait for the next hackathon to wish you had prepared.  Join NEEV. Learn. Build. Experiment. Repeat.  We can’t wait to see what you create!   Join the PanchVyuh group for live updates : https://chat.whatsapp.com/BudukELaFz4KPjAmpDbGmZ?s=cl&p=i&mlu=4  Team KBG 🚀",greeting,greeting:hello
Thanks ki kya baat bhai,thanks,thanks:thanks
"Bhaiya, I actually forgot everything about it. That's why I asked. Thank you for telling.",thanks,thanks:thank you
If any team has less members even then they can take part,greeting,greeting:hey
"ok thanks bhai 31/08/26, 17:33 - ~ Karmanya added +91 93926 68753",thanks,thanks:thanks
"🏆 SCAVENGER HUNT — FINAL LEADERBOARD 🔍🎉  Congratulations to all the winners! 🎊  🥇 1st Place — Team 22 🥈 2nd Place — Team 25 🥉 3rd Place — Team 14, Team 06 & Team 07  🌟 Honourable Mention — Team 50  🎁 Prize Distribution: 📅 4th September  A huge congratulations to all the teams for your amazing participation, teamwork, and enthusiasm! ❤️‍🔥  Thank you everyone for making the Scavenger Hunt so exciting and memorable! 🙌✨",thanks,thanks:thank you
Thanks ywar,thanks,thanks:thanks
🎨 Janmashtami Handmade Art Competition — Winners 🏆  Congratulations to all the winners of the Janmashtami Handmade Art Competition! 🎉  🥇 1st Place: Marati Abhinav (B26102) 🥈 2nd Place: Ishiri Debbarma (B26485) 🥉 3rd Place: Abhinav Kumar (B26316)  🌟 Special Mention: Vaishalee (D23014)  A big thank you to everyone who participated and beautifully showcased their creativity and the spirit of Janmashtami! 🦚🪈💙,thanks,thanks:thank you
Thank you bhaiya ♥️,thanks,thanks:thank you
"Hello everyone, I’m Pruthviraj, working on a project focused on food safety and restaurant management software.  Out IIT Mandi chapter includes: Food delivery directly from the website.  Exclusive offers from different restaurants, shared in our WhatsApp group  Join the group to stay updated on the latest offers. https://chat.whatsapp.com/GmnStd8aHNN8K9D47oik4Q",greeting,greeting:hello
Okay thanks 👍,thanks,thanks:thanks
How to ban this sticker,faq_how_to,faq_how_to:how to
"Hey, has dahi handi started?",greeting,greeting:hey
"Hello everyone, I’m Pruthviraj, working on a project focused on food safety and restaurant management software.  Out IIT Mandi chapter includes: Food delivery directly from the website.  Exclusive offers from different restaurants, shared in our WhatsApp group  Join the group to stay updated on the latest offers. https://chat.whatsapp.com/GmnStd8aHNN8K9D47oik4Q 05/09/26, 00:59 - +91 70585 29128 joined from the community",greeting,greeting:hello
Guys chale jaao yaar...dekho seniors ko gussa isliye aata hai kyunki they work hard to organise these events which are specially for first yearites and agar tum log hi nahi aaoge to this will be a bad impression and will demotivate your seniors from working hard and planning future events. <This message was edited>,greeting,greeting:hey
"Hi,  Due to this unexpected participation in Teachers' Day event, I will neither be responding to any WhatsApp messages (eventually this* community which most of you ignore, will be dead) nor any calls over any platform.  For anything important email me over the secretary ID: If you do not receive a response within 24 hours, consider the matter was not important enough to receive a reply.  also a bonus, PMD is finally murdered by all your hands. Enough of me paying when students don't know how to reciprocate.  I hope you may enjoy the rest of your time in your ug degree.  Thanks for the learning.  Acad Secy 05/09/26, 22:52 - Only admins can message this group 05/09/26, 22:52 - Only admins can message this group 05/09/26, 22:52 - Only admins can message this group 05/09/26, 22:52 - Only admins can message this group 05/09/26, 23:01 - ~ Ashutosh added +91 60060 46498",thanks,thanks:thanks; faq_how_to:how to
Phir tu hiking kaise karega?,faq_how_to,faq_how_to:kaise kare
"Hey Guys on a serious note...  You all would have noticed recently what the outcomes of your lack of attendance in college events has been. Please do not continue this further and affect the SNTC and technical culture of our college.  This session is made for you guys to learn about real engineering which you all are here to study. Not only will your attendance tomorrow be considered for STAC core recruitment but will also actually teach you real skills which you will use in Projects (InSpace - Cansat and Rocketry), UTKARSH (where you will launch your own rocket) and even in Hackathons which we will organise (Coming Soon..).  Please understand that your participation in all college events affects its performance overall of the IIT in all aspects like InterIIT. You yourself are accountable for future culture of the college and even what goes on your resume.  Hope you understand and attend this session tomorrow.  -STAC IIT Mandi",greeting,greeting:hey
Hello yaar sabkooo!! Recent events m dekha hai humne ki tunhara participation girta hi jara hai ....iska mostly jo reason mujhe lgta hai wo ye hai ki tumlog exhausted ho itne sare events ki wajah se ....but jaisa ki tumhe sab hi seniors ne bola hoga ....ki yahi time hai explore karo aage itne events nahi honge....jyada se jyada events m jao and find your domains ... develop your interests,greeting,greeting:hello
"Hey Freshers!👋  We hope you have been enjoying your first semester here at IIT Mandi, and we'd love to get to know you better! The PMC is back to put together this year's FRESHERS' INTRO VIDEO!  It doesn’t matter if you’re quiet, energetic, funny, or somewhere in between. This is simply a chance to show a bit of who you are and be part of something fun with your batchmates. We ask the questions, you answer while being your authentic self!  This is an excellent opportunity for you to show off your personality and become a part of something memorable. No script, no pressure, just wholesome fun for you and your friends.  If you'd like to be featured, just fill the form - https://forms.gle/bhfmETt8u4AphK5i6  We are going to select you guys on the basis of your response and on a FIRST COME FIRST SERVE basis. So make sure to fill the form ASAP‼️ -- For any queries, contact: Dev Asnani - 7727096537 Aarav Bhukhmaria - 9784580837 Arnav Chandan - 92119 77822",greeting,greeting:hey
"Hello IIT Mandi, time to serve, slay, and mog  🎀🗿  Think fashion is more than just clothes? Do you love styling outfits, experimenting with looks or bringing a concept to life? 👀 Or maybe you’ve always wanted to explore fashion but never got the chance? 😌  This year, ArtGeeks is bringing its Fashion Team & we’re looking for creative, enthusiastic people who want to build something new from the ground up. 👗🕺💃🏻  What you can be a part of: • Styling and creating themed looks • Fashion photoshoots & editorial concepts • Fashion showcases and stage performances • Exploring makeup, styling & fashion aesthetics • Creative collaborations and events • *Representing IIT Mandi at Inter IIT Cult Meet*  No prior experience is required. Whether you already know your way around fashion or simply want to explore it, you’re welcome to apply. ❤️  Apply here: https://forms.gle/cc3qg52BydoVTRoV8  🗓️ Last date to apply: 10/09/2026  This time, we’re not just following trends, we’re building the Fashion Team from scratch. Come be a part of it. ✨  Parth Asawa 9981120039 Coordinator ArtGeeks | IIT Mandi 🎨",greeting,greeting:hello
Hii,greeting,greeting:hii
"Heyoo Everyone ⁩,  Qurosity will be conducting the first two quizzes of the Inter-IIT Bootcamp ( *TLC and HELM* ), *tomorrow(September 11) from 9pm* . Venue will be *Qurosity Room, A19 2nd Floor.*  This is your golden chance to represent IIT Mandi in Inter-IIT & other inter-college fests. Make sure you attend all the quizzes for a higher chance of selection.",greeting,greeting:hey
"🌸 *Gentle Reminder, Everyone!*  Just a reminder that the *SPIC MACAY Core Recruitment Form* will close *tomorrow*. If you haven’t filled it yet, kindly take a few minutes to complete the form *as soon as possible*.  Please don’t wait until the last moment! 😊  Thank you, and all the best to everyone applying! ✨",thanks,thanks:thank you
Kisi ko cab book karni h kya chandigarh tak ki on 26 timing 8am-12pm. One place on our cab is unoccupied. Price is around 1200 (girl only),cab_booking,cab_booking:cab book
@⁨~sneh⁩ thanks yaar,thanks,thanks:thanks
"🔥 SEATS ARE FILLING FAST! 🔥 The response is already coming in, and seats are getting booked! 🎬❤️‍🔥 HANUMAN ANSH — 12th & 13th September | Auditorium ⏳ Limited seats available! 🎟️ First come, first serve! Don’t wait till the last moment — book your seats NOW! 🔥 Once the seats are gone, they’re GONE! 👀",greeting,greeting:hey
