id,base_id,text,sentiment,pattern_type
positive_10_clean,positive_10,website use krna bohot easy h ab,positive,clean
positive_10_shorthand,positive_10,website use krna bhot easy h ab,positive,shorthand
positive_10_typo,positive_10,websiet use krna bohot easy h ab,positive,typo
positive_10_punctuation,positive_10,website use krna bohot easy h ab!,positive,punctuation
positive_10_stress,positive_10,website use krna bohot easssy h ab,positive,stress
positive_10_shorthand_typo,positive_10,website use krna bhot esay h ab,positive,shorthand_typo
positive_10_code_mix,positive_10,"literally, website use krna bohot easy h ab",positive,code_mix
positive_10_emoji_reinforce,positive_10,website use krna bohot easy h ab 😊,positive,emoji_reinforce
positive_10_shorthand_emoji,positive_10,website use krna bhot easy h ab 😊,positive,shorthand_emoji
positive_10_stress_emoji,positive_10,website use krna bohot easssy h ab 😊,positive,stress_emoji
positive_11_clean,positive_11,agent ne patience se sara solve kr diya,positive,clean
positive_11_shorthand,positive_11,agent ne patience se sara solve kr diya,positive,shorthand
positive_11_typo,positive_11,agent ne patience se sara solve kr dyia,positive,typo
positive_11_punctuation,positive_11,agent ne patience se sara solve kr diya!,positive,punctuation
positive_11_stress,positive_11,agent ne patience se sara solllve kr diya,positive,stress
positive_11_shorthand_typo,positive_11,aegnt ne patience se sara solve kr diya,positive,shorthand_typo
positive_11_code_mix,positive_11,"literally, agent ne patience se sara solve kr diya",positive,code_mix
positive_11_emoji_reinforce,positive_11,agent ne patience se sara solve kr diya 😄,positive,emoji_reinforce
positive_11_shorthand_emoji,positive_11,agent ne patience se sara solve kr diya 😄,positive,shorthand_emoji
positive_11_stress_emoji,positive_11,agent ne patience se sara solllve kr diya 😄,positive,stress_emoji
positive_12_clean,positive_12,packaging bohot acchi thi is baar,positive,clean
positive_12_shorthand,positive_12,packaging bhot acchi thi is baar,positive,shorthand
positive_12_typo,positive_12,packaging bohot acchi thi is baar,positive,typo
positive_12_punctuation,positive_12,packaging bohot acchi thi is baar!,positive,punctuation
positive_12_stress,positive_12,packaging bohot acchi thhhi is baar,positive,stress
positive_12_shorthand_typo,positive_12,packaigng bhot acchi thi is baar,positive,shorthand_typo
positive_12_code_mix,positive_12,"honestly, packaging bohot acchi thi is baar",positive,code_mix
positive_12_emoji_reinforce,positive_12,packaging bohot acchi thi is baar ❤️,positive,emoji_reinforce
positive_12_shorthand_emoji,positive_12,packaging bhot acchi thi is baar ❤️,positive,shorthand_emoji
positive_12_stress_emoji,positive_12,packaging bohot acchi thhhi is baar ❤️,positive,stress_emoji
positive_13_clean,positive_13,app update ke baad speed kaafi badh gayi,positive,clean
positive_13_shorthand,positive_13,app update ke baad speed kaafi badh gayi,positive,shorthand
positive_13_typo,positive_13,app update ke abad speed kaafi badh gayi,positive,typo
positive_13_punctuation,positive_13,app update ke baad speed kaafi badh gayi!,positive,punctuation
positive_13_stress,positive_13,app update ke baad speed kaaaafi badh gayi,positive,stress
positive_13_shorthand_typo,positive_13,app update ke baad speed kaafi bdah gayi,positive,shorthand_typo
positive_13_code_mix,positive_13,"honestly, app update ke baad speed kaafi badh gayi",positive,code_mix
positive_13_emoji_reinforce,positive_13,app update ke baad speed kaafi badh gayi 😄,positive,emoji_reinforce
positive_13_shorthand_emoji,positive_13,app update ke baad speed kaafi badh gayi 😄,positive,shorthand_emoji
positive_13_stress_emoji,positive_13,app update ke baad speed kaaaafi badh gayi 😄,positive,stress_emoji
positive_14_clean,positive_14,return process bohot smooth raha,positive,clean
positive_14_shorthand,positive_14,return process bhot smooth rha,positive,shorthand
positive_14_typo,positive_14,return process bohot smooth arha,positive,typo
positive_14_punctuation,positive_14,return process bohot smooth raha!,positive,punctuation
positive_14_stress,positive_14,retuuurn process bohot smooth raha,positive,stress
positive_14_shorthand_typo,positive_14,return process bhto smooth rha,positive,shorthand_typo
positive_14_code_mix,positive_14,"seriously, return process bohot smooth raha",positive,code_mix
positive_14_emoji_reinforce,positive_14,return process bohot smooth raha 😄,positive,emoji_reinforce
positive_14_shorthand_emoji,positive_14,return process bhot smooth rha 😄,positive,shorthand_emoji
positive_14_stress_emoji,positive_14,retuuurn process bohot smooth raha 😄,positive,stress_emoji
positive_15_clean,positive_15,exchange bina kisi dikkat ke ho gya,positive,clean
positive_15_shorthand,positive_15,exchange bina kisi dikkat ke ho gya,positive,shorthand
positive_15_typo,positive_15,exchange ibna kisi dikkat ke ho gya,positive,typo
positive_15_punctuation,positive_15,exchange bina kisi dikkat ke ho gya!,positive,punctuation
positive_15_stress,positive_15,exchaaange bina kisi dikkat ke ho gya,positive,stress
positive_15_shorthand_typo,positive_15,exchange bian kisi dikkat ke ho gya,positive,shorthand_typo
positive_15_code_mix,positive_15,"actually, exchange bina kisi dikkat ke ho gya",positive,code_mix
positive_15_emoji_reinforce,positive_15,exchange bina kisi dikkat ke ho gya 😄,positive,emoji_reinforce
positive_15_shorthand_emoji,positive_15,exchange bina kisi dikkat ke ho gya 😄,positive,shorthand_emoji
positive_15_stress_emoji,positive_15,exchaaange bina kisi dikkat ke ho gya 😄,positive,stress_emoji
positive_16_clean,positive_16,payment turant confirm ho gya koi issue nahi,positive,clean
positive_16_shorthand,positive_16,payment turant confirm ho gya koi issue nhi,positive,shorthand
positive_16_typo,positive_16,apyment turant confirm ho gya koi issue nahi,positive,typo
positive_16_punctuation,positive_16,payment turant confirm ho gya koi issue nahi!,positive,punctuation
positive_16_stress,positive_16,payment turant confirm ho gyyya koi issue nahi,positive,stress
positive_16_shorthand_typo,positive_16,payment turant confirm ho gya koi isseu nhi,positive,shorthand_typo
positive_16_code_mix,positive_16,"seriously, payment turant confirm ho gya koi issue nahi",positive,code_mix
positive_16_emoji_reinforce,positive_16,payment turant confirm ho gya koi issue nahi 😊,positive,emoji_reinforce
positive_16_shorthand_emoji,positive_16,payment turant confirm ho gya koi issue nhi 😊,positive,shorthand_emoji
positive_16_stress_emoji,positive_16,payment turant confirm ho gyyya koi issue nahi 😊,positive,stress_emoji
positive_17_clean,positive_17,tracking updates time pe milte rehte h,positive,clean
positive_17_shorthand,positive_17,tracking updates time pe milte rehte h,positive,shorthand
positive_17_typo,positive_17,tracking updates time pe imlte rehte h,positive,typo
positive_17_punctuation,positive_17,tracking updates time pe milte rehte h!,positive,punctuation
positive_17_stress,positive_17,tracking updates timmme pe milte rehte h,positive,stress
positive_17_shorthand_typo,positive_17,tracking updates time pe mitle rehte h,positive,shorthand_typo
positive_17_code_mix,positive_17,"literally, tracking updates time pe milte rehte h",positive,code_mix
positive_17_emoji_reinforce,positive_17,tracking updates time pe milte rehte h 😊,positive,emoji_reinforce
positive_17_shorthand_emoji,positive_17,tracking updates time pe milte rehte h 😊,positive,shorthand_emoji
positive_17_stress_emoji,positive_17,tracking updates timmme pe milte rehte h 😊,positive,stress_emoji
positive_18_clean,positive_18,complaint ka response bohot fast tha,positive,clean
positive_18_shorthand,positive_18,complaint ka response bhot fast tha,positive,shorthand
positive_18_typo,positive_18,compliant ka response bohot fast tha,positive,typo
positive_18_punctuation,positive_18,complaint ka response bohot fast tha!,positive,punctuation
positive_18_stress,positive_18,complaint ka respooonse bohot fast tha,positive,stress
positive_18_shorthand_typo,positive_18,complaint ka response boht fast tha,positive,shorthand_typo
positive_18_code_mix,positive_18,"actually, complaint ka response bohot fast tha",positive,code_mix
positive_18_emoji_reinforce,positive_18,complaint ka response bohot fast tha ❤️,positive,emoji_reinforce
positive_18_shorthand_emoji,positive_18,complaint ka response bhot fast tha ❤️,positive,shorthand_emoji
positive_18_stress_emoji,positive_18,complaint ka respooonse bohot fast tha ❤️,positive,stress_emoji
positive_19_clean,positive_19,discount mil gya bina kuch bole,positive,clean
positive_19_shorthand,positive_19,discount mil gya bina kuch bole,positive,shorthand
positive_19_typo,positive_19,dsicount mil gya bina kuch bole,positive,typo
positive_19_punctuation,positive_19,discount mil gya bina kuch bole!,positive,punctuation
positive_19_stress,positive_19,discount miiil gya bina kuch bole,positive,stress
positive_19_shorthand_typo,positive_19,discount mil gya bian kuch bole,positive,shorthand_typo
positive_19_code_mix,positive_19,"honestly, discount mil gya bina kuch bole",positive,code_mix
positive_19_emoji_reinforce,positive_19,discount mil gya bina kuch bole 👍,positive,emoji_reinforce
positive_19_shorthand_emoji,positive_19,discount mil gya bina kuch bole 👍,positive,shorthand_emoji
positive_19_stress_emoji,positive_19,discount miiil gya bina kuch bole 👍,positive,stress_emoji
positive_20_clean,positive_20,app ka new design bohot acha h,positive,clean
positive_20_shorthand,positive_20,app ka new design bhot acha h,positive,shorthand
positive_20_typo,positive_20,app ka new design bohot acah h,positive,typo
positive_20_punctuation,positive_20,app ka new design bohot acha h!,positive,punctuation
positive_20_stress,positive_20,apppp ka new design bohot acha h,positive,stress
positive_20_shorthand_typo,positive_20,app ka new design bhot ahca h,positive,shorthand_typo
positive_20_code_mix,positive_20,"seriously, app ka new design bohot acha h",positive,code_mix
positive_20_emoji_reinforce,positive_20,app ka new design bohot acha h ❤️,positive,emoji_reinforce
positive_20_shorthand_emoji,positive_20,app ka new design bhot acha h ❤️,positive,shorthand_emoji
positive_20_stress_emoji,positive_20,apppp ka new design bohot acha h ❤️,positive,stress_emoji
positive_21_clean,positive_21,delivery se pehle call aaya bohot thoughtful,positive,clean
positive_21_shorthand,positive_21,delivery se pehle call aaya bhot thoughtful,positive,shorthand
positive_21_typo,positive_21,delivery se pehel call aaya bohot thoughtful,positive,typo
positive_21_punctuation,positive_21,delivery se pehle call aaya bohot thoughtful!,positive,punctuation
positive_21_stress,positive_21,delivery se pehle call aaya bohot thoughhhtful,positive,stress
positive_21_shorthand_typo,positive_21,delivery se ephle call aaya bhot thoughtful,positive,shorthand_typo
positive_21_code_mix,positive_21,"actually, delivery se pehle call aaya bohot thoughtful",positive,code_mix
positive_21_emoji_reinforce,positive_21,delivery se pehle call aaya bohot thoughtful 😊,positive,emoji_reinforce
positive_21_shorthand_emoji,positive_21,delivery se pehle call aaya bhot thoughtful 😊,positive,shorthand_emoji
positive_21_stress_emoji,positive_21,delivery se pehle call aaya bohot thoughhhtful 😊,positive,stress_emoji
positive_22_clean,positive_22,subscription cancel krna bhi easy nikla,positive,clean
positive_22_shorthand,positive_22,subscription cancel krna bhi easy nikla,positive,shorthand
positive_22_typo,positive_22,subscriptoin cancel krna bhi easy nikla,positive,typo
positive_22_punctuation,positive_22,subscription cancel krna bhi easy nikla!,positive,punctuation
positive_22_stress,positive_22,subscription cancel krna bhhhi easy nikla,positive,stress
positive_22_shorthand_typo,positive_22,subscription cancel krna bhi easy nilka,positive,shorthand_typo
positive_22_code_mix,positive_22,"just saying, subscription cancel krna bhi easy nikla",positive,code_mix
positive_22_emoji_reinforce,positive_22,subscription cancel krna bhi easy nikla 😄,positive,emoji_reinforce
positive_22_shorthand_emoji,positive_22,subscription cancel krna bhi easy nikla 😄,positive,shorthand_emoji
positive_22_stress_emoji,positive_22,subscription cancel krna bhhhi easy nikla 😄,positive,stress_emoji
positive_23_clean,positive_23,hotel booking process bilkul seedha tha,positive,clean
positive_23_shorthand,positive_23,hotel booking process blkl seedha tha,positive,shorthand
positive_23_typo,positive_23,hotel booking process iblkul seedha tha,positive,typo
positive_23_punctuation,positive_23,hotel booking process bilkul seedha tha!,positive,punctuation
positive_23_stress,positive_23,hotel booking process bilkul seedha thhha,positive,stress
positive_23_shorthand_typo,positive_23,hotel booking process bllk seedha tha,positive,shorthand_typo
positive_23_code_mix,positive_23,"honestly, hotel booking process bilkul seedha tha",positive,code_mix
positive_23_emoji_reinforce,positive_23,hotel booking process bilkul seedha tha ❤️,positive,emoji_reinforce
positive_23_shorthand_emoji,positive_23,hotel booking process blkl seedha tha ❤️,positive,shorthand_emoji
positive_23_stress_emoji,positive_23,hotel booking process bilkul seedha thhha ❤️,positive,stress_emoji
positive_24_clean,positive_24,cab turant mil gyi wait nahi krna pada,positive,clean
positive_24_shorthand,positive_24,cab turant mil gyi wait nhi krna pada,positive,shorthand
positive_24_typo,positive_24,cab truant mil gyi wait nahi krna pada,positive,typo
positive_24_punctuation,positive_24,cab turant mil gyi wait nahi krna pada!,positive,punctuation
positive_24_stress,positive_24,cab turant mil gyyyi wait nahi krna pada,positive,stress
positive_24_shorthand_typo,positive_24,cab turant mil gyi awit nhi krna pada,positive,shorthand_typo
positive_24_code_mix,positive_24,"seriously, cab turant mil gyi wait nahi krna pada",positive,code_mix
positive_24_emoji_reinforce,positive_24,cab turant mil gyi wait nahi krna pada 🙌,positive,emoji_reinforce
positive_24_shorthand_emoji,positive_24,cab turant mil gyi wait nhi krna pada 🙌,positive,shorthand_emoji
positive_24_stress_emoji,positive_24,cab turant mil gyyyi wait nahi krna pada 🙌,positive,stress_emoji
positive_25_clean,positive_25,flight status live update milta rehta h,positive,clean
positive_25_shorthand,positive_25,flight status live update milta rehta h,positive,shorthand
positive_25_typo,positive_25,flight status live update milta retha h,positive,typo
positive_25_punctuation,positive_25,flight status live update milta rehta h!,positive,punctuation
positive_25_stress,positive_25,flight status live update milllta rehta h,positive,stress
positive_25_shorthand_typo,positive_25,flight status live update imlta rehta h,positive,shorthand_typo
positive_25_code_mix,positive_25,"actually, flight status live update milta rehta h",positive,code_mix
positive_25_emoji_reinforce,positive_25,flight status live update milta rehta h ❤️,positive,emoji_reinforce
positive_25_shorthand_emoji,positive_25,flight status live update milta rehta h ❤️,positive,shorthand_emoji
positive_25_stress_emoji,positive_25,flight status live update milllta rehta h ❤️,positive,stress_emoji
positive_26_clean,positive_26,driver bohot achhe se laaya bina kisi dikkat ke,positive,clean
positive_26_shorthand,positive_26,driver bhot achhe se laaya bina kisi dikkat ke,positive,shorthand
positive_26_typo,positive_26,driver bohot achhe se alaya bina kisi dikkat ke,positive,typo
positive_26_punctuation,positive_26,driver bohot achhe se laaya bina kisi dikkat ke!,positive,punctuation
positive_26_stress,positive_26,driver bohhhot achhe se laaya bina kisi dikkat ke,positive,stress
positive_26_shorthand_typo,positive_26,driver bhot acheh se laaya bina kisi dikkat ke,positive,shorthand_typo
positive_26_code_mix,positive_26,"literally, driver bohot achhe se laaya bina kisi dikkat ke",positive,code_mix
positive_26_emoji_reinforce,positive_26,driver bohot achhe se laaya bina kisi dikkat ke 😄,positive,emoji_reinforce
positive_26_shorthand_emoji,positive_26,driver bhot achhe se laaya bina kisi dikkat ke 😄,positive,shorthand_emoji
positive_26_stress_emoji,positive_26,driver bohhhot achhe se laaya bina kisi dikkat ke 😄,positive,stress_emoji
positive_27_clean,positive_27,app ka checkout process bohot fast h ab,positive,clean
positive_27_shorthand,positive_27,app ka checkout process bhot fast h ab,positive,shorthand
positive_27_typo,positive_27,app ka checkout process bohto fast h ab,positive,typo
positive_27_punctuation,positive_27,app ka checkout process bohot fast h ab!,positive,punctuation
positive_27_stress,positive_27,app ka checkout process bohot fassst h ab,positive,stress
positive_27_shorthand_typo,positive_27,app ka checokut process bhot fast h ab,positive,shorthand_typo
positive_27_code_mix,positive_27,"just saying, app ka checkout process bohot fast h ab",positive,code_mix
positive_27_emoji_reinforce,positive_27,app ka checkout process bohot fast h ab 🙌,positive,emoji_reinforce
positive_27_shorthand_emoji,positive_27,app ka checkout process bhot fast h ab 🙌,positive,shorthand_emoji
positive_27_stress_emoji,positive_27,app ka checkout process bohot fassst h ab 🙌,positive,stress_emoji
positive_28_clean,positive_28,missing item turant bhej diya bina extra charge ke,positive,clean
positive_28_shorthand,positive_28,missing item turant bhej diya bina extra charge ke,positive,shorthand
positive_28_typo,positive_28,missing item turant bhej dyia bina extra charge ke,positive,typo
positive_28_punctuation,positive_28,missing item turant bhej diya bina extra charge ke!,positive,punctuation
positive_28_stress,positive_28,missing item turant bhej diya bina extttra charge ke,positive,stress
positive_28_shorthand_typo,positive_28,missing item turant bhej diya bian extra charge ke,positive,shorthand_typo
positive_28_code_mix,positive_28,"literally, missing item turant bhej diya bina extra charge ke",positive,code_mix
positive_28_emoji_reinforce,positive_28,missing item turant bhej diya bina extra charge ke 👍,positive,emoji_reinforce
positive_28_shorthand_emoji,positive_28,missing item turant bhej diya bina extra charge ke 👍,positive,shorthand_emoji
positive_28_stress_emoji,positive_28,missing item turant bhej diya bina extttra charge ke 👍,positive,stress_emoji
positive_29_clean,positive_29,hotel staff bohot cooperative tha,positive,clean
positive_29_shorthand,positive_29,hotel staff bhot cooperative tha,positive,shorthand
positive_29_typo,positive_29,ohtel staff bohot cooperative tha,positive,typo
positive_29_punctuation,positive_29,hotel staff bohot cooperative tha!,positive,punctuation
positive_29_stress,positive_29,hotel staaaff bohot cooperative tha,positive,stress
positive_29_shorthand_typo,positive_29,hotel staff bhot cooeprative tha,positive,shorthand_typo
positive_29_code_mix,positive_29,"actually, hotel staff bohot cooperative tha",positive,code_mix
positive_29_emoji_reinforce,positive_29,hotel staff bohot cooperative tha 🙌,positive,emoji_reinforce
positive_29_shorthand_emoji,positive_29,hotel staff bhot cooperative tha 🙌,positive,shorthand_emoji
positive_29_stress_emoji,positive_29,hotel staaaff bohot cooperative tha 🙌,positive,stress_emoji
positive_30_clean,positive_30,order jaldi pack ho gya expected se pehle,positive,clean
positive_30_shorthand,positive_30,order jaldi pack ho gya expected se pehle,positive,shorthand
positive_30_typo,positive_30,order jaldi pakc ho gya expected se pehle,positive,typo
positive_30_punctuation,positive_30,order jaldi pack ho gya expected se pehle!,positive,punctuation
positive_30_stress,positive_30,order jallldi pack ho gya expected se pehle,positive,stress
positive_30_shorthand_typo,positive_30,order jaldi pack ho gya expetced se pehle,positive,shorthand_typo
positive_30_code_mix,positive_30,"just saying, order jaldi pack ho gya expected se pehle",positive,code_mix
positive_30_emoji_reinforce,positive_30,order jaldi pack ho gya expected se pehle ❤️,positive,emoji_reinforce
positive_30_shorthand_emoji,positive_30,order jaldi pack ho gya expected se pehle ❤️,positive,shorthand_emoji
positive_30_stress_emoji,positive_30,order jallldi pack ho gya expected se pehle ❤️,positive,stress_emoji
positive_31_clean,positive_31,subscription ka trial bhi kaafi generous h,positive,clean
positive_31_shorthand,positive_31,subscription ka trial bhi kaafi generous h,positive,shorthand
positive_31_typo,positive_31,subscripiton ka trial bhi kaafi generous h,positive,typo
positive_31_punctuation,positive_31,subscription ka trial bhi kaafi generous h!,positive,punctuation
positive_31_stress,positive_31,subscription ka trial bhhhi kaafi generous h,positive,stress
positive_31_shorthand_typo,positive_31,subscription ka trial bhi akafi generous h,positive,shorthand_typo
positive_31_code_mix,positive_31,"honestly, subscription ka trial bhi kaafi generous h",positive,code_mix
positive_31_emoji_reinforce,positive_31,subscription ka trial bhi kaafi generous h 😊,positive,emoji_reinforce
positive_31_shorthand_emoji,positive_31,subscription ka trial bhi kaafi generous h 😊,positive,shorthand_emoji
positive_31_stress_emoji,positive_31,subscription ka trial bhhhi kaafi generous h 😊,positive,stress_emoji
positive_32_clean,positive_32,delivery partner ne sahi jagah pe deliver kiya,positive,clean
positive_32_shorthand,positive_32,delivery partner ne sahi jagah pe deliver kiya,positive,shorthand
positive_32_typo,positive_32,delivery partner ne saih jagah pe deliver kiya,positive,typo
positive_32_punctuation,positive_32,delivery partner ne sahi jagah pe deliver kiya!,positive,punctuation
positive_32_stress,positive_32,delivery partner ne sahi jagggah pe deliver kiya,positive,stress
positive_32_shorthand_typo,positive_32,delivery patrner ne sahi jagah pe deliver kiya,positive,shorthand_typo
positive_32_code_mix,positive_32,"literally, delivery partner ne sahi jagah pe deliver kiya",positive,code_mix
positive_32_emoji_reinforce,positive_32,delivery partner ne sahi jagah pe deliver kiya ❤️,positive,emoji_reinforce
positive_32_shorthand_emoji,positive_32,delivery partner ne sahi jagah pe deliver kiya ❤️,positive,shorthand_emoji
positive_32_stress_emoji,positive_32,delivery partner ne sahi jagggah pe deliver kiya ❤️,positive,stress_emoji
positive_33_clean,positive_33,agent ne detail me sab samjhaya bohot accha laga,positive,clean
positive_33_shorthand,positive_33,agent ne detail me sab samjhaya bhot accha laga,positive,shorthand
positive_33_typo,positive_33,agent ne edtail me sab samjhaya bohot accha laga,positive,typo
positive_33_punctuation,positive_33,agent ne detail me sab samjhaya bohot accha laga!,positive,punctuation
positive_33_stress,positive_33,agent ne detail me sab samjhaya bohot accha laggga,positive,stress
positive_33_shorthand_typo,positive_33,agent ne detail me sab samjhaay bhot accha laga,positive,shorthand_typo
positive_33_code_mix,positive_33,"literally, agent ne detail me sab samjhaya bohot accha laga",positive,code_mix
