id,base_id,text,domain,intent,description,variant,noise_level,emoji_role,split,source
order_cancel_b004_v05,order_cancel_b004,"Order place ho chuka hai, par item ka plan change ho gaya; cancel kar do 🙏",Orders,order_cancel,Cancel an existing order,emoji,1_light,emphasis_or_affect,train,original_constructed
order_cancel_b004_v06,order_cancel_b004,"Order place ho chuka hai, par item ka plan change ho gaya; cancel kar do...",Orders,order_cancel,Cancel an existing order,punctuation,1_light,none,train,original_constructed
order_cancel_b004_v07,order_cancel_b004,"order place ho chuak hai, par item ka plan chang ho gaya; canecl kar do",Orders,order_cancel,Cancel an existing order,shorthand_typo,2_medium,none,train,original_constructed
order_cancel_b004_v08,order_cancel_b004,"order place ho chuka hai, par item ka plan change ho gaya; cancel kar do 🙏",Orders,order_cancel,Cancel an existing order,shorthand_emoji,1_light,emphasis_or_affect,train,original_constructed
order_cancel_b004_v09,order_cancel_b004,"ordr place ho chuka hai, par product ka plan update ho gaya; cancel kar do 🙏",Orders,order_cancel,Cancel an existing order,code_mix_emoji,2_medium,emphasis_or_affect,train,original_constructed
order_cancel_b004_v10,order_cancel_b004,"Order place hooo chuka hai, par item ka plan change ho gaya; cancel kar do 😭",Orders,order_cancel,Cancel an existing order,stress,2_medium,emphasis_or_affect,train,original_constructed
order_cancel_b005_v01,order_cancel_b005,"mujhe lagta hai, can you cancel my order? Galti se order place ho gaya",Orders,order_cancel,Cancel an existing order,clean,0_clean,none,train,original_constructed
order_cancel_b005_v02,order_cancel_b005,"mujhe lagta hai, can u cancel my order? galti se order place ho gaya",Orders,order_cancel,Cancel an existing order,shorthand,1_light,none,train,original_constructed
order_cancel_b005_v03,order_cancel_b005,"mujhe lagta hai, can you cancel my ordr? Galti se ordr place ho gaya",Orders,order_cancel,Cancel an existing order,code_mix,1_light,none,train,original_constructed
order_cancel_b005_v04,order_cancel_b005,"muhje lagta hai, can you cnacel my order? Galit se odrer plcae ho gaya",Orders,order_cancel,Cancel an existing order,typo,2_medium,none,train,original_constructed
order_cancel_b005_v05,order_cancel_b005,"mujhe lagta hai, can you cancel my order? Galti se order place ho gaya 😕",Orders,order_cancel,Cancel an existing order,emoji,1_light,emphasis_or_affect,train,original_constructed
order_cancel_b005_v06,order_cancel_b005,"mujhe lagta hai, can you cancel my order?? Galti se order place ho gaya...",Orders,order_cancel,Cancel an existing order,punctuation,1_light,none,train,original_constructed
order_cancel_b005_v07,order_cancel_b005,"muhje lgata hai, can u cancle my odrer? glati se odrer place ho gaya",Orders,order_cancel,Cancel an existing order,shorthand_typo,2_medium,none,train,original_constructed
order_cancel_b005_v08,order_cancel_b005,"mujhe lagta hai, can u cancel my order? galti se order place ho gaya 😕",Orders,order_cancel,Cancel an existing order,shorthand_emoji,1_light,emphasis_or_affect,train,original_constructed
order_cancel_b005_v09,order_cancel_b005,"mujhe lagta hai, can you cancel my ordr? Galti se ordr place ho gaya 😕",Orders,order_cancel,Cancel an existing order,code_mix_emoji,2_medium,emphasis_or_affect,train,original_constructed
order_cancel_b005_v10,order_cancel_b005,"mujhe lagta hai, can you cancel myyy order? Galti se order place ho gaya 😭",Orders,order_cancel,Cancel an existing order,stress,2_medium,emphasis_or_affect,train,original_constructed
order_cancel_b006_v01,order_cancel_b006,"bhai order cancel karna hai, item ka plan change ho gaya",Orders,order_cancel,Cancel an existing order,clean,0_clean,none,validation,original_constructed
order_cancel_b006_v02,order_cancel_b006,"bhai order cancel karna hai, item ka plan change ho gaya",Orders,order_cancel,Cancel an existing order,shorthand,1_light,none,validation,original_constructed
order_cancel_b006_v03,order_cancel_b006,"bhai ordr cancel karna hai, product ka plan update ho gaya",Orders,order_cancel,Cancel an existing order,code_mix,1_light,none,validation,original_constructed
order_cancel_b006_v04,order_cancel_b006,"bhai odrer cacel karna hai, item ka plan chnage ho gaya",Orders,order_cancel,Cancel an existing order,typo,2_medium,none,validation,original_constructed
order_cancel_b006_v05,order_cancel_b006,"bhai order cancel karna hai, item ka plan change ho gaya 🙏",Orders,order_cancel,Cancel an existing order,emoji,1_light,emphasis_or_affect,validation,original_constructed
order_cancel_b006_v06,order_cancel_b006,"bhai order cancel karna hai, item ka plan change ho gaya...",Orders,order_cancel,Cancel an existing order,punctuation,1_light,none,validation,original_constructed
order_cancel_b006_v07,order_cancel_b006,"bhai order cnacel karan hai, item ka plan chaneg ho gaya",Orders,order_cancel,Cancel an existing order,shorthand_typo,2_medium,none,validation,original_constructed
order_cancel_b006_v08,order_cancel_b006,"bhai order cancel karna hai, item ka plan change ho gaya 🙏",Orders,order_cancel,Cancel an existing order,shorthand_emoji,1_light,emphasis_or_affect,validation,original_constructed
order_cancel_b006_v09,order_cancel_b006,"bhai ordr cancel karna hai, product ka plan update ho gaya 🙏",Orders,order_cancel,Cancel an existing order,code_mix_emoji,2_medium,emphasis_or_affect,validation,original_constructed
order_cancel_b006_v10,order_cancel_b006,"bhai order cancel karna hai, item kaaa plan change ho gaya 😭",Orders,order_cancel,Cancel an existing order,stress,2_medium,emphasis_or_affect,validation,original_constructed
order_cancel_b007_v01,order_cancel_b007,pls mera abhi order ki zarurat nahi hai wala order cancel karna hai,Orders,order_cancel,Cancel an existing order,clean,0_clean,none,validation,original_constructed
order_cancel_b007_v02,order_cancel_b007,pls mera abhi order ki zarurat nahi hai wala order cancel karna hai,Orders,order_cancel,Cancel an existing order,shorthand,1_light,none,validation,original_constructed
order_cancel_b007_v03,order_cancel_b007,pls mera abhi ordr ki zarurat nahi hai wala ordr cancel karna hai,Orders,order_cancel,Cancel an existing order,code_mix,1_light,none,validation,original_constructed
order_cancel_b007_v04,order_cancel_b007,pls mera abhi oredr ki zarurat nahi hai wala order canel krana hai,Orders,order_cancel,Cancel an existing order,typo,2_medium,none,validation,original_constructed
order_cancel_b007_v05,order_cancel_b007,pls mera abhi order ki zarurat nahi hai wala order cancel karna hai 🙏,Orders,order_cancel,Cancel an existing order,emoji,1_light,emphasis_or_affect,validation,original_constructed
order_cancel_b007_v06,order_cancel_b007,pls mera abhi order ki zarurat nahi hai wala order cancel karna hai...,Orders,order_cancel,Cancel an existing order,punctuation,1_light,none,validation,original_constructed
order_cancel_b007_v07,order_cancel_b007,pls mera abhi ordre ki zarruat nahi hai wala order cacnel krana hai,Orders,order_cancel,Cancel an existing order,shorthand_typo,2_medium,none,validation,original_constructed
order_cancel_b007_v08,order_cancel_b007,pls mera abhi order ki zarurat nahi hai wala order cancel karna hai 🙏,Orders,order_cancel,Cancel an existing order,shorthand_emoji,1_light,emphasis_or_affect,validation,original_constructed
order_cancel_b007_v09,order_cancel_b007,pls mera abhi ordr ki zarurat nahi hai wala ordr cancel karna hai 🙏,Orders,order_cancel,Cancel an existing order,code_mix_emoji,2_medium,emphasis_or_affect,validation,original_constructed
order_cancel_b007_v10,order_cancel_b007,pls mera abhi order kiii zarurat nahi hai wala order cancel karna hai 😭,Orders,order_cancel,Cancel an existing order,stress,2_medium,emphasis_or_affect,validation,original_constructed
order_cancel_b008_v01,order_cancel_b008,please price ab kam mil raha hai; order ko stop kar sakte ho??,Orders,order_cancel,Cancel an existing order,clean,0_clean,none,test,original_constructed
order_cancel_b008_v02,order_cancel_b008,pls price ab kam mil raha hai; order ko stop kar sakte ho??,Orders,order_cancel,Cancel an existing order,shorthand,1_light,none,test,original_constructed
order_cancel_b008_v03,order_cancel_b008,please price ab kam mil raha hai; ordr ko stop kar sakte ho??,Orders,order_cancel,Cancel an existing order,code_mix,1_light,none,test,original_constructed
order_cancel_b008_v04,order_cancel_b008,plaese prcie ab kam mil raha hai; odrer ko stop kar sakte ho??,Orders,order_cancel,Cancel an existing order,typo,2_medium,none,test,original_constructed
order_cancel_b008_v05,order_cancel_b008,please price ab kam mil raha hai; order ko stop kar sakte ho?? 😕,Orders,order_cancel,Cancel an existing order,emoji,1_light,emphasis_or_affect,test,original_constructed
order_cancel_b008_v06,order_cancel_b008,please price ab kam mil raha hai; order ko stop kar sakte ho????,Orders,order_cancel,Cancel an existing order,punctuation,1_light,none,test,original_constructed
order_cancel_b008_v07,order_cancel_b008,pls pirce ab kam mil raha hai; odrer ko stop kar saket ho??,Orders,order_cancel,Cancel an existing order,shorthand_typo,2_medium,none,test,original_constructed
order_cancel_b008_v08,order_cancel_b008,pls price ab kam mil raha hai; order ko stop kar sakte ho?? 😕,Orders,order_cancel,Cancel an existing order,shorthand_emoji,1_light,emphasis_or_affect,test,original_constructed
order_cancel_b008_v09,order_cancel_b008,please price ab kam mil raha hai; ordr ko stop kar sakte ho?? 😕,Orders,order_cancel,Cancel an existing order,code_mix_emoji,2_medium,emphasis_or_affect,test,original_constructed
order_cancel_b008_v10,order_cancel_b008,please price abbb kam mil raha hai; order ko stop kar sakte ho?? 😭,Orders,order_cancel,Cancel an existing order,stress,2_medium,emphasis_or_affect,test,original_constructed
order_cancel_b009_v01,order_cancel_b009,"Mujhe abhi order ki zarurat nahi hai, isliye order ab nahi chahiye",Orders,order_cancel,Cancel an existing order,clean,0_clean,none,test,original_constructed
order_cancel_b009_v02,order_cancel_b009,"mujhe abhi order ki zarurat nahi hai, isliye order ab nahi chahiye",Orders,order_cancel,Cancel an existing order,shorthand,1_light,none,test,original_constructed
order_cancel_b009_v03,order_cancel_b009,"Mujhe abhi ordr ki zarurat nahi hai, isliye ordr ab nahi chahiye",Orders,order_cancel,Cancel an existing order,code_mix,1_light,none,test,original_constructed
order_cancel_b009_v04,order_cancel_b009,"Muhje abhi order ki zaruart nahi hai, isliye order ab nahi chhiye",Orders,order_cancel,Cancel an existing order,typo,2_medium,none,test,original_constructed
order_cancel_b009_v05,order_cancel_b009,"Mujhe abhi order ki zarurat nahi hai, isliye order ab nahi chahiye 🙏",Orders,order_cancel,Cancel an existing order,emoji,1_light,emphasis_or_affect,test,original_constructed
order_cancel_b009_v06,order_cancel_b009,"Mujhe abhi order ki zarurat nahi hai, isliye order ab nahi chahiye...",Orders,order_cancel,Cancel an existing order,punctuation,1_light,none,test,original_constructed
order_cancel_b009_v07,order_cancel_b009,"mujhe abhi order ki zaurrat nahi hai, islyie ordre ab nahi chahie",Orders,order_cancel,Cancel an existing order,shorthand_typo,2_medium,none,test,original_constructed
order_cancel_b009_v08,order_cancel_b009,"mujhe abhi order ki zarurat nahi hai, isliye order ab nahi chahiye 🙏",Orders,order_cancel,Cancel an existing order,shorthand_emoji,1_light,emphasis_or_affect,test,original_constructed
order_cancel_b009_v09,order_cancel_b009,"Mujhe abhi ordr ki zarurat nahi hai, isliye ordr ab nahi chahiye 🙏",Orders,order_cancel,Cancel an existing order,code_mix_emoji,2_medium,emphasis_or_affect,test,original_constructed
order_cancel_b009_v10,order_cancel_b009,"Mujhe abhi order kiii zarurat nahi hai, isliye order ab nahi chahiye 😭",Orders,order_cancel,Cancel an existing order,stress,2_medium,emphasis_or_affect,test,original_constructed
order_cancel_b010_v01,order_cancel_b010,"mujhe lagta hai, order place ho chuka hai, par price ab kam mil raha hai; cancel kar do",Orders,order_cancel,Cancel an existing order,clean,0_clean,none,train,original_constructed
order_cancel_b010_v02,order_cancel_b010,"mujhe lagta hai, order place ho chuka hai, par price ab kam mil raha hai; cancel kar do",Orders,order_cancel,Cancel an existing order,shorthand,1_light,none,train,original_constructed
order_cancel_b010_v03,order_cancel_b010,"mujhe lagta hai, ordr place ho chuka hai, par price ab kam mil raha hai; cancel kar do",Orders,order_cancel,Cancel an existing order,code_mix,1_light,none,train,original_constructed
order_cancel_b010_v04,order_cancel_b010,"mujhe lagta hai, order palce ho chuak hai, par prcie ab kam mil raha hai; cancle kar do",Orders,order_cancel,Cancel an existing order,typo,2_medium,none,train,original_constructed
order_cancel_b010_v05,order_cancel_b010,"mujhe lagta hai, order place ho chuka hai, par price ab kam mil raha hai; cancel kar do 🙏",Orders,order_cancel,Cancel an existing order,emoji,1_light,emphasis_or_affect,train,original_constructed
order_cancel_b010_v06,order_cancel_b010,"mujhe lagta hai, order place ho chuka hai, par price ab kam mil raha hai; cancel kar do...",Orders,order_cancel,Cancel an existing order,punctuation,1_light,none,train,original_constructed
order_cancel_b010_v07,order_cancel_b010,"mujhe lagat hai, odrer place ho chuka hai, par price ab kam mil raha hai; cnacel kar do",Orders,order_cancel,Cancel an existing order,shorthand_typo,2_medium,none,train,original_constructed
order_cancel_b010_v08,order_cancel_b010,"mujhe lagta hai, order place ho chuka hai, par price ab kam mil raha hai; cancel kar do 🙏",Orders,order_cancel,Cancel an existing order,shorthand_emoji,1_light,emphasis_or_affect,train,original_constructed
order_cancel_b010_v09,order_cancel_b010,"mujhe lagta hai, ordr place ho chuka hai, par price ab kam mil raha hai; cancel kar do 🙏",Orders,order_cancel,Cancel an existing order,code_mix_emoji,2_medium,emphasis_or_affect,train,original_constructed
order_cancel_b010_v10,order_cancel_b010,"mujhe lagta hai, order place hooo chuka hai, par price ab kam mil raha hai; cancel kar do 😭",Orders,order_cancel,Cancel an existing order,stress,2_medium,emphasis_or_affect,train,original_constructed
order_cancel_b011_v01,order_cancel_b011,can you cancel my order? Abhi order ki zarurat nahi hai,Orders,order_cancel,Cancel an existing order,clean,0_clean,none,train,original_constructed
order_cancel_b011_v02,order_cancel_b011,can u cancel my order? abhi order ki zarurat nahi hai,Orders,order_cancel,Cancel an existing order,shorthand,1_light,none,train,original_constructed
order_cancel_b011_v03,order_cancel_b011,can you cancel my ordr? Abhi ordr ki zarurat nahi hai,Orders,order_cancel,Cancel an existing order,code_mix,1_light,none,train,original_constructed
order_cancel_b011_v04,order_cancel_b011,can you canel my order? Abhi order ki zarruat nahi hai,Orders,order_cancel,Cancel an existing order,typo,2_medium,none,train,original_constructed
order_cancel_b011_v05,order_cancel_b011,can you cancel my order? Abhi order ki zarurat nahi hai 😕,Orders,order_cancel,Cancel an existing order,emoji,1_light,emphasis_or_affect,train,original_constructed
order_cancel_b011_v06,order_cancel_b011,can you cancel my order?? Abhi order ki zarurat nahi hai...,Orders,order_cancel,Cancel an existing order,punctuation,1_light,none,train,original_constructed
order_cancel_b011_v07,order_cancel_b011,can u cancle my ordre? abhi oredr ki zarruat nahi hai,Orders,order_cancel,Cancel an existing order,shorthand_typo,2_medium,none,train,original_constructed
order_cancel_b011_v08,order_cancel_b011,can u cancel my order? abhi order ki zarurat nahi hai 😕,Orders,order_cancel,Cancel an existing order,shorthand_emoji,1_light,emphasis_or_affect,train,original_constructed
order_cancel_b011_v09,order_cancel_b011,can you cancel my ordr? Abhi ordr ki zarurat nahi hai 😕,Orders,order_cancel,Cancel an existing order,code_mix_emoji,2_medium,emphasis_or_affect,train,original_constructed
order_cancel_b011_v10,order_cancel_b011,can you cancel myyy order? Abhi order ki zarurat nahi hai 😭,Orders,order_cancel,Cancel an existing order,stress,2_medium,emphasis_or_affect,train,original_constructed
order_cancel_b012_v01,order_cancel_b012,"pls bhai order cancel karna hai, price ab kam mil raha hai",Orders,order_cancel,Cancel an existing order,clean,0_clean,none,train,original_constructed
order_cancel_b012_v02,order_cancel_b012,"pls bhai order cancel karna hai, price ab kam mil raha hai",Orders,order_cancel,Cancel an existing order,shorthand,1_light,none,train,original_constructed
order_cancel_b012_v03,order_cancel_b012,"pls bhai ordr cancel karna hai, price ab kam mil raha hai",Orders,order_cancel,Cancel an existing order,code_mix,1_light,none,train,original_constructed
order_cancel_b012_v04,order_cancel_b012,"pls bhai ordre cacnel kanra hai, prcie ab kam mil raha hai",Orders,order_cancel,Cancel an existing order,typo,2_medium,none,train,original_constructed
order_cancel_b012_v05,order_cancel_b012,"pls bhai order cancel karna hai, price ab kam mil raha hai 🙏",Orders,order_cancel,Cancel an existing order,emoji,1_light,emphasis_or_affect,train,original_constructed
order_cancel_b012_v06,order_cancel_b012,"pls bhai order cancel karna hai, price ab kam mil raha hai...",Orders,order_cancel,Cancel an existing order,punctuation,1_light,none,train,original_constructed
order_cancel_b012_v07,order_cancel_b012,"pls bhai oredr cacnel krana hai, price ab kam mil raha hai",Orders,order_cancel,Cancel an existing order,shorthand_typo,2_medium,none,train,original_constructed
order_cancel_b012_v08,order_cancel_b012,"pls bhai order cancel karna hai, price ab kam mil raha hai 🙏",Orders,order_cancel,Cancel an existing order,shorthand_emoji,1_light,emphasis_or_affect,train,original_constructed
order_cancel_b012_v09,order_cancel_b012,"pls bhai ordr cancel karna hai, price ab kam mil raha hai 🙏",Orders,order_cancel,Cancel an existing order,code_mix_emoji,2_medium,emphasis_or_affect,train,original_constructed
order_cancel_b012_v10,order_cancel_b012,"pls bhai order cancel karna hai, price abbb kam mil raha hai 😭",Orders,order_cancel,Cancel an existing order,stress,2_medium,emphasis_or_affect,train,original_constructed
order_cancel_b013_v01,order_cancel_b013,mera address sahi nahi hai wala order cancel karna hai?,Orders,order_cancel,Cancel an existing order,clean,0_clean,none,train,original_constructed
order_cancel_b013_v02,order_cancel_b013,mera address sahi nahi hai wala order cancel karna hai?,Orders,order_cancel,Cancel an existing order,shorthand,1_light,none,train,original_constructed
order_cancel_b013_v03,order_cancel_b013,mera addr sahi nahi hai wala ordr cancel karna hai?,Orders,order_cancel,Cancel an existing order,code_mix,1_light,none,train,original_constructed
order_cancel_b013_v04,order_cancel_b013,mera adderss sahi nahi hai wala order canecl karna hai?,Orders,order_cancel,Cancel an existing order,typo,2_medium,none,train,original_constructed
order_cancel_b013_v05,order_cancel_b013,mera address sahi nahi hai wala order cancel karna hai? 😕,Orders,order_cancel,Cancel an existing order,emoji,1_light,emphasis_or_affect,train,original_constructed
order_cancel_b013_v06,order_cancel_b013,mera address sahi nahi hai wala order cancel karna hai??,Orders,order_cancel,Cancel an existing order,punctuation,1_light,none,train,original_constructed
order_cancel_b013_v07,order_cancel_b013,mera address sahi nahi hai wala oredr cnacel karna hai?,Orders,order_cancel,Cancel an existing order,shorthand_typo,2_medium,none,train,original_constructed
order_cancel_b013_v08,order_cancel_b013,mera address sahi nahi hai wala order cancel karna hai? 😕,Orders,order_cancel,Cancel an existing order,shorthand_emoji,1_light,emphasis_or_affect,train,original_constructed
order_cancel_b013_v09,order_cancel_b013,mera addr sahi nahi hai wala ordr cancel karna hai? 😕,Orders,order_cancel,Cancel an existing order,code_mix_emoji,2_medium,emphasis_or_affect,train,original_constructed
order_cancel_b013_v10,order_cancel_b013,mera address sahi nahi haiii wala order cancel karna hai? 😭,Orders,order_cancel,Cancel an existing order,stress,2_medium,emphasis_or_affect,train,original_constructed
order_cancel_b014_v01,order_cancel_b014,Please delivery bahut late dikh rahi hai; order ko stop kar sakte ho?,Orders,order_cancel,Cancel an existing order,clean,0_clean,none,train,original_constructed
order_cancel_b014_v02,order_cancel_b014,pls delivery bahut late dikh rahi hai; order ko stop kar sakte ho?,Orders,order_cancel,Cancel an existing order,shorthand,1_light,none,train,original_constructed
order_cancel_b014_v03,order_cancel_b014,Please delivery bahut late dikh rahi hai; ordr ko stop kar sakte ho?,Orders,order_cancel,Cancel an existing order,code_mix,1_light,none,train,original_constructed
order_cancel_b014_v04,order_cancel_b014,Plase delivery bahut late dikh rahi hai; oredr ko stop kar skate ho?,Orders,order_cancel,Cancel an existing order,typo,2_medium,none,train,original_constructed
order_cancel_b014_v05,order_cancel_b014,Please delivery bahut late dikh rahi hai; order ko stop kar sakte ho? 😕,Orders,order_cancel,Cancel an existing order,emoji,1_light,emphasis_or_affect,train,original_constructed
order_cancel_b014_v06,order_cancel_b014,Please delivery bahut late dikh rahi hai; order ko stop kar sakte ho??,Orders,order_cancel,Cancel an existing order,punctuation,1_light,none,train,original_constructed
order_cancel_b014_v07,order_cancel_b014,pls dlivery bahut late dikh rahi hai; odrer ko stop kar sakte ho?,Orders,order_cancel,Cancel an existing order,shorthand_typo,2_medium,none,train,original_constructed
order_cancel_b014_v08,order_cancel_b014,pls delivery bahut late dikh rahi hai; order ko stop kar sakte ho? 😕,Orders,order_cancel,Cancel an existing order,shorthand_emoji,1_light,emphasis_or_affect,train,original_constructed
order_cancel_b014_v09,order_cancel_b014,Please delivery bahut late dikh rahi hai; ordr ko stop kar sakte ho? 😕,Orders,order_cancel,Cancel an existing order,code_mix_emoji,2_medium,emphasis_or_affect,train,original_constructed
order_cancel_b014_v10,order_cancel_b014,Please delivery bahut late dikh rahi hai; order kooo stop kar sakte ho? 😭,Orders,order_cancel,Cancel an existing order,stress,2_medium,emphasis_or_affect,train,original_constructed
order_cancel_b015_v01,order_cancel_b015,"mujhe lagta hai, mujhe address sahi nahi hai, isliye order ab nahi chahiye",Orders,order_cancel,Cancel an existing order,clean,0_clean,none,test,original_constructed
order_cancel_b015_v02,order_cancel_b015,"mujhe lagta hai, mujhe address sahi nahi hai, isliye order ab nahi chahiye",Orders,order_cancel,Cancel an existing order,shorthand,1_light,none,test,original_constructed
order_cancel_b015_v03,order_cancel_b015,"mujhe lagta hai, mujhe addr sahi nahi hai, isliye ordr ab nahi chahiye",Orders,order_cancel,Cancel an existing order,code_mix,1_light,none,test,original_constructed
order_cancel_b015_v04,order_cancel_b015,"mujhe latga hai, muhje adderss sahi nahi hai, isilye order ab nahi chaihye",Orders,order_cancel,Cancel an existing order,typo,2_medium,none,test,original_constructed
order_cancel_b015_v05,order_cancel_b015,"mujhe lagta hai, mujhe address sahi nahi hai, isliye order ab nahi chahiye 🙏",Orders,order_cancel,Cancel an existing order,emoji,1_light,emphasis_or_affect,test,original_constructed
